City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Geraldton,AU,2020-06-16 01:00:31,-28.77,114.6,0,23,73.4,18.34
Longyearbyen,SJ,2020-06-16 01:00:11,78.22,15.64,75,74,37.4,16.11
Ushuaia,AR,2020-06-16 01:00:31,-54.8,-68.3,40,86,37.4,5.82
La Asuncion,VE,2020-06-16 01:00:31,11.03,-63.86,14,70,89.6,11.41
Laramie,US,2020-06-16 00:59:51,41.31,-105.59,1,50,60.01,10.29
Oranjemund,NA,2020-06-16 01:00:32,-28.55,16.43,22,28,61.61,28.61
Kenai,US,2020-06-16 01:00:32,60.55,-151.26,1,66,60.8,18.34
Cabra,ES,2020-06-16 01:00:32,37.47,-4.44,100,64,62.01,1.79
Kuytun,RU,2020-06-16 01:00:32,54.34,101.5,94,69,59.31,1.92
Agadez,NE,2020-06-16 01:00:32,19.75,10.25,0,19,81.46,8.16
The Pas,CA,2020-06-16 01:00:24,53.83,-101.25,1,59,62.6,6.93
Dno,RU,2020-06-16 00:59:48,57.83,29.96,32,86,68.9,3.69
Dwārka,IN,2020-06-16 01:00:33,22.24,68.97,100,72,88.2,10.85
Nikolskoye,RU,2020-06-16 01:00:33,59.7,30.79,5,64,73.4,0.96
Gravdal,NO,2020-06-16 01:00:33,68.12,13.5,63,66,48.2,11.41
Mar del Plata,AR,2020-06-16 00:57:44,-38.0,-57.56,89,93,54.0,11.41
Aki,JP,2020-06-16 01:00:33,33.5,133.9,20,69,78.8,8.05
Deputatsky,RU,2020-06-16 00:59:19,69.3,139.9,93,33,72.03,12.77
Lethem,GY,2020-06-16 01:00:33,3.38,-59.8,78,91,74.62,3.67
Lovozero,RU,2020-06-16 01:00:33,68.0,35.01,52,61,45.5,14.41
Soyo,AO,2020-06-16 01:00:34,-6.13,12.37,8,91,70.63,4.05
Sambava,MG,2020-06-16 01:00:34,-14.27,50.17,100,87,72.52,13.15
Chernyshevskiy,RU,2020-06-16 01:00:34,63.01,112.47,23,35,66.09,6.96
Kyra,RU,2020-06-16 01:00:34,49.58,111.98,99,30,83.32,4.0
Severnyy,RU,2020-06-16 01:00:34,50.68,36.55,34,49,69.8,8.95
Mana,GF,2020-06-16 01:00:34,5.66,-53.78,94,89,76.59,3.74
Mahébourg,MU,2020-06-16 01:00:35,-20.41,57.7,40,73,71.6,14.99
Dunedin,NZ,2020-06-16 00:56:59,-45.87,170.5,26,66,59.0,3.0
Krasnogorsk,RU,2020-06-16 01:00:35,55.82,37.32,97,72,69.01,6.71
Port Elizabeth,ZA,2020-06-16 01:00:19,-33.92,25.57,40,100,48.2,3.36
Beringovskiy,RU,2020-06-16 01:00:35,63.05,179.32,25,83,44.64,5.77
Padang,ID,2020-06-16 01:00:35,-0.95,100.35,92,68,86.04,5.39
Poya,NC,2020-06-16 01:00:35,-21.35,165.15,7,61,76.05,5.39
Vardø,NO,2020-06-16 01:00:35,70.37,31.11,40,69,44.6,19.46
Killarney,IE,2020-06-16 01:00:35,52.05,-9.52,100,93,55.26,4.0
Arlit,NE,2020-06-16 01:00:35,18.74,7.39,0,11,92.5,8.61
Barreiras,BR,2020-06-16 00:58:24,-12.15,-44.99,6,74,67.8,5.26
Hermanus,ZA,2020-06-16 01:00:36,-34.42,19.23,17,80,53.46,9.1
Albany,US,2020-06-16 01:00:12,42.6,-73.97,0,66,57.0,2.48
Ryōtsu-minato,JP,2020-06-16 01:00:36,38.08,138.43,40,69,75.2,9.17
Flinders,AU,2020-06-16 01:00:36,-34.58,150.86,18,48,70.0,13.0
Esperance,AU,2020-06-16 01:00:36,-33.87,121.9,40,51,62.6,11.41
Kavaratti,IN,2020-06-16 01:00:36,10.57,72.64,90,79,84.2,11.41
Huarmey,PE,2020-06-16 01:00:37,-10.07,-78.15,38,86,62.11,6.42
Olafsvik,IS,2020-06-16 01:00:37,64.89,-23.71,21,75,45.93,17.11
Qaqortoq,GL,2020-06-16 01:00:37,60.72,-46.03,100,86,41.0,3.36
Palmer,US,2020-06-16 01:00:37,42.16,-72.33,1,93,54.0,1.21
Brufut,GM,2020-06-16 01:00:38,13.38,-16.75,5,94,78.8,9.17
Bambous Virieux,MU,2020-06-16 01:00:38,-20.34,57.76,40,73,73.99,14.99
Hanzhong,CN,2020-06-16 01:00:38,33.07,107.03,100,91,73.38,2.33
Aklavik,CA,2020-06-16 01:00:38,68.22,-135.01,75,31,73.4,6.93
Westport,US,2020-06-16 01:00:38,41.14,-73.36,1,72,62.6,2.91
Umm Kaddadah,SD,2020-06-16 01:00:38,13.6,26.69,17,39,86.79,5.91
Khatanga,RU,2020-06-16 01:00:38,71.97,102.5,77,42,57.51,11.32
Rosa Zarate,EC,2020-06-16 01:00:38,0.33,-79.47,100,95,73.2,1.79
Touros,BR,2020-06-16 01:00:38,-5.2,-35.46,75,94,75.2,10.29
Hamilton,US,2020-06-16 01:00:38,39.18,-84.53,1,87,66.2,3.36
Bredasdorp,ZA,2020-06-16 01:00:38,-34.53,20.04,0,100,42.8,3.53
Olot,ES,2020-06-16 01:00:40,42.18,2.49,100,99,60.01,2.01
Iqaluit,CA,2020-06-16 01:00:40,63.75,-68.51,90,74,35.6,6.93
Lüderitz,NA,2020-06-16 01:00:40,-26.65,15.16,0,12,69.8,20.8
Constitución,CL,2020-06-16 01:00:40,-35.33,-72.42,100,91,55.24,17.74
Saint Paul Harbor,US,2020-06-16 01:00:40,57.79,-152.41,90,62,55.4,6.93
Upernavik,GL,2020-06-16 01:00:40,72.79,-56.15,47,96,31.35,12.28
Ribeira Grande,PT,2020-06-16 01:00:40,38.52,-28.7,3,82,63.52,14.56
Chui,UY,2020-06-16 01:00:40,-33.7,-53.46,65,93,57.02,9.73
Churapcha,RU,2020-06-16 01:00:40,62.0,132.43,4,35,74.12,8.61
Äänekoski,FI,2020-06-16 01:00:41,62.69,25.82,58,63,66.2,8.05
Temanggung,ID,2020-06-16 01:00:41,-7.32,110.18,40,66,87.8,11.41
Gao,ML,2020-06-16 01:00:42,16.64,1.64,1,31,91.09,7.99
Warri,NG,2020-06-16 01:00:42,5.52,5.75,88,95,75.2,2.84
Vao,NC,2020-06-16 01:00:42,-22.67,167.48,17,76,73.85,18.3
Ancud,CL,2020-06-16 01:00:42,-41.87,-73.82,90,100,52.0,17.22
Antalaha,MG,2020-06-16 01:00:42,-14.9,50.28,99,87,72.16,9.71
Port Lincoln,AU,2020-06-16 01:00:42,-34.73,135.87,30,61,61.25,13.15
Chicama,PE,2020-06-16 01:00:42,-7.84,-79.15,60,83,64.04,4.94
Stornoway,GB,2020-06-16 01:00:42,58.21,-6.39,93,93,55.99,3.36
Puri,IN,2020-06-16 01:00:42,19.8,85.85,75,94,82.4,4.7
El Alto,PE,2020-06-16 01:00:42,-4.27,-81.21,42,80,65.48,13.27
Chokurdakh,RU,2020-06-16 01:00:43,70.63,147.92,94,29,79.7,4.88
Lebyazh'ye,RU,2020-06-16 01:00:43,55.27,66.49,3,49,67.26,6.11
Palauig,PH,2020-06-16 01:00:43,15.44,119.9,11,70,86.63,7.92
São Filipe,CV,2020-06-16 01:00:43,14.9,-24.5,7,80,76.24,1.83
Pevek,RU,2020-06-16 01:00:43,69.7,170.31,18,68,45.82,5.32
Río Gallegos,AR,2020-06-16 01:00:43,-51.62,-69.22,99,92,26.6,2.24
Mandalgovi,MN,2020-06-16 01:00:43,45.76,106.27,100,16,80.83,16.69
Laguna,US,2020-06-16 01:00:44,38.42,-121.42,1,52,68.0,11.41
Hilo,US,2020-06-16 00:56:37,19.73,-155.09,75,65,78.8,6.93
Feicheng,CN,2020-06-16 01:00:44,35.26,117.97,100,53,82.65,8.59
Thompson,CA,2020-06-16 01:00:44,55.74,-97.86,40,93,57.2,8.57
Kudahuvadhoo,MV,2020-06-16 01:00:44,2.67,72.89,10,78,83.7,13.51
Barrow,US,2020-06-16 01:00:44,71.29,-156.79,75,86,37.4,13.87
Wajima,JP,2020-06-16 01:00:44,37.4,136.9,75,88,69.8,10.29
Dudinka,RU,2020-06-16 01:00:44,69.41,86.18,90,93,42.8,20.13
Grindavik,IS,2020-06-16 01:00:44,63.84,-22.43,40,81,44.6,14.99
Kruisfontein,ZA,2020-06-16 01:00:44,-34.0,24.73,36,93,48.88,3.62
Cape Canaveral,US,2020-06-16 00:57:02,28.41,-80.6,1,78,77.0,5.82
Santa Rosa,PH,2020-06-16 01:00:44,14.31,121.11,40,63,93.99,4.7
Fairbanks,US,2020-06-16 01:00:45,64.84,-147.72,75,77,62.6,5.82
Voh,NC,2020-06-16 01:00:45,-20.97,164.7,5,61,76.89,5.91
Destin,US,2020-06-16 00:58:15,30.39,-86.5,75,51,82.4,8.05
Te Anau,NZ,2020-06-16 01:00:45,-45.42,167.72,100,87,52.7,5.39
Hualmay,PE,2020-06-16 01:00:45,-11.1,-77.61,54,85,61.99,7.31
Bayjī,IQ,2020-06-16 01:00:45,34.93,43.49,0,19,93.83,12.82
Airai,TL,2020-06-16 00:59:07,-8.93,125.41,83,77,71.02,5.03
Saint George,US,2020-06-16 00:56:49,37.1,-113.58,1,18,84.2,10.29
Urucará,BR,2020-06-16 01:00:45,-2.54,-57.76,2,79,74.79,1.74
Kaitangata,NZ,2020-06-16 01:00:46,-46.28,169.85,100,67,54.0,1.99
Cao Bang,VN,2020-06-16 01:00:46,22.67,106.25,100,70,85.06,5.5
San Cristobal,VE,2020-06-16 01:00:46,7.77,-72.22,99,82,66.78,2.98
Tilichiki,RU,2020-06-16 00:59:34,60.47,166.1,37,62,51.67,9.22
Ko Samui,TH,2020-06-16 00:56:59,9.54,99.94,20,70,87.8,9.17
Karoi,ZW,2020-06-16 01:00:46,-16.81,29.69,44,87,49.68,5.26
Shambu,ET,2020-06-16 01:00:46,9.57,37.1,32,96,56.01,0.69
Dargaville,NZ,2020-06-16 01:00:46,-35.93,173.88,100,79,57.49,6.53
Anadyr,RU,2020-06-16 01:00:46,64.75,177.48,53,50,57.2,11.18
Ilulissat,GL,2020-06-16 01:00:46,69.22,-51.1,68,64,37.4,5.82
Paamiut,GL,2020-06-16 01:00:46,61.99,-49.67,100,95,38.95,9.78
Belaya Gora,RU,2020-06-16 01:00:46,68.53,146.42,2,20,85.57,7.63
Talant,FR,2020-06-16 01:00:47,47.34,5.01,33,100,57.0,3.47
Klaksvík,FO,2020-06-16 01:00:47,62.23,-6.59,90,100,51.8,5.82
Jishou,CN,2020-06-16 01:00:47,28.32,109.72,32,57,90.46,12.15
Ware,GB,2020-06-16 01:00:47,51.81,-0.03,3,92,55.0,2.84
Ponta do Sol,PT,2020-06-16 01:00:47,32.67,-17.1,75,83,69.8,5.82
Bétaré Oya,CM,2020-06-16 01:00:47,5.6,14.08,97,96,66.49,1.79
Samaná,DO,2020-06-16 01:00:47,19.21,-69.34,76,88,78.12,7.36
Bairiki Village,KI,2020-06-16 01:00:47,1.33,172.98,20,66,87.8,5.82
Nokaneng,BW,2020-06-16 01:00:47,-19.67,22.27,0,61,48.25,4.81
Bethel,US,2020-06-16 01:00:47,41.37,-73.41,1,87,55.99,1.16
Ipixuna,BR,2020-06-16 01:00:47,-1.76,-48.8,40,94,78.8,4.7
Kayerkan,RU,2020-06-16 01:00:48,69.35,87.76,90,93,42.8,20.13
Ponta Delgada,PT,2020-06-16 01:00:14,37.73,-25.67,20,72,62.6,8.05
Nísia Floresta,BR,2020-06-16 01:00:48,-6.09,-35.21,75,94,75.2,10.29
Guerrero Negro,MX,2020-06-16 00:56:05,27.98,-114.06,0,88,63.16,13.82
Margate,GB,2020-06-16 01:00:48,51.38,1.39,0,95,60.01,1.99
Shingū,JP,2020-06-16 01:00:48,33.73,135.98,40,48,82.4,8.05
Assiut,EG,2020-06-16 01:00:48,27.18,31.18,0,49,71.6,13.87
Mazagão,BR,2020-06-16 01:00:48,-0.12,-51.29,20,100,78.8,1.12
Baykit,RU,2020-06-16 01:00:48,61.67,96.37,35,44,57.02,10.6
Road Town,VG,2020-06-16 00:56:43,18.42,-64.62,60,83,82.99,13.0
Kiryat Gat,IL,2020-06-16 00:57:03,31.61,34.76,0,81,72.0,2.26
San Alberto,CO,2020-06-16 01:00:08,7.76,-73.39,95,76,76.86,1.59
Nabire,ID,2020-06-16 01:00:48,-3.37,135.48,100,79,80.37,5.17
Wenling,CN,2020-06-16 01:00:49,28.37,121.36,81,45,82.0,7.92
Williamsport,US,2020-06-16 01:00:23,41.24,-77.0,1,77,59.0,2.33
Cockburn Town,TC,2020-06-16 01:00:49,21.46,-71.14,100,80,82.0,15.66
Berdigestyakh,RU,2020-06-16 01:00:49,62.1,126.7,32,41,72.79,6.38
Lakatoro,VU,2020-06-16 01:00:49,-16.1,167.42,75,88,78.8,5.82
Saint Anthony,US,2020-06-16 01:00:49,45.02,-93.22,1,49,73.99,12.75
Verkhnetulomskiy,RU,2020-06-16 01:00:49,68.61,31.8,75,57,48.2,11.18
Merauke,ID,2020-06-16 01:00:49,-8.47,140.33,76,78,81.5,19.57
Port Hawkesbury,CA,2020-06-16 01:00:49,45.62,-61.35,1,93,48.0,3.36
Innisfail,AU,2020-06-16 00:59:24,-17.53,146.03,52,79,74.82,10.09
Aboyne,GB,2020-06-16 01:00:50,57.08,-2.78,90,100,54.0,3.36
Seoul,KR,2020-06-16 00:56:41,37.57,126.98,40,48,84.2,4.7
Bonavista,CA,2020-06-16 01:00:50,48.65,-53.11,100,80,44.01,12.82
Plettenberg Bay,ZA,2020-06-16 01:00:50,-34.05,23.37,0,75,54.59,2.42
Tanabe,JP,2020-06-16 01:00:50,33.73,135.37,40,48,82.4,8.05
Dingle,PH,2020-06-16 01:00:50,11.0,122.67,100,55,89.2,10.27
Lodwar,KE,2020-06-16 01:00:50,3.12,35.6,73,55,79.25,15.82
Tema,GH,2020-06-16 01:00:50,5.67,-0.02,20,94,78.8,9.17
Skellefteå,SE,2020-06-16 01:00:50,64.75,20.95,15,58,61.0,10.29
Zhanakorgan,KZ,2020-06-16 01:00:51,43.91,67.25,0,28,73.22,19.62
Abinsk,RU,2020-06-16 01:00:51,44.87,38.16,89,83,77.0,1.01
Pasni,PK,2020-06-16 01:00:51,25.26,63.47,91,75,86.92,10.07
San Patricio,MX,2020-06-16 01:00:51,19.22,-104.7,7,72,78.6,5.48
Rocha,UY,2020-06-16 01:00:51,-34.48,-54.33,43,94,52.86,9.62
Husavik,IS,2020-06-16 01:00:51,66.04,-17.34,91,73,41.0,20.8
Yangambi,CD,2020-06-16 01:00:51,0.81,24.43,22,87,71.24,0.51
New Norfolk,AU,2020-06-16 01:00:51,-42.78,147.06,76,72,50.0,8.99
Inuvik,CA,2020-06-16 01:00:24,68.35,-133.72,75,31,73.4,6.93
Kingston,JM,2020-06-16 00:56:54,18.0,-76.79,100,95,75.99,2.13
Oistins,BB,2020-06-16 01:00:51,13.07,-59.53,75,74,80.6,18.34
Guiyang,CN,2020-06-16 01:00:51,26.58,106.72,75,61,82.4,22.37
Arawa,PG,2020-06-16 01:00:51,-6.21,155.54,41,74,83.93,4.05
Rawson,AR,2020-06-16 01:00:52,-43.3,-65.1,100,54,49.48,20.11
Hasaki,JP,2020-06-16 01:00:52,35.73,140.83,40,58,91.0,9.17
Tazovsky,RU,2020-06-16 01:00:52,67.47,78.7,100,90,41.7,13.09
Murray Bridge,AU,2020-06-16 01:00:52,-35.12,139.27,60,75,59.0,14.88
Ulladulla,AU,2020-06-16 01:00:52,-35.35,150.47,4,40,68.0,24.16
Peleduy,RU,2020-06-16 01:00:52,59.63,112.74,90,34,78.31,6.53
Villa del Rosario,CO,2020-06-16 01:00:52,7.83,-72.47,100,67,74.88,2.62
Zabaykal'sk,RU,2020-06-16 01:00:52,49.63,117.32,17,23,84.13,5.55
Poum,NC,2020-06-16 01:00:52,-20.23,164.02,0,72,75.38,11.3
Provideniya,RU,2020-06-16 01:00:53,64.38,-173.3,59,62,55.4,6.71
Misratah,LY,2020-06-16 01:00:53,32.38,15.09,0,76,70.39,15.52
Paka,MY,2020-06-16 01:00:53,4.64,103.44,40,75,89.6,4.7
Adrar,MR,2020-06-16 01:00:53,20.5,-10.07,0,16,94.5,18.01
Maumere,ID,2020-06-16 01:00:53,-8.62,122.21,34,67,84.43,6.35
Tarko-Sale,RU,2020-06-16 01:00:53,64.92,77.78,100,75,57.0,8.01
Mezen',RU,2020-06-16 01:00:54,65.85,44.24,100,91,42.21,7.2
Koumac,NC,2020-06-16 01:00:54,-20.57,164.28,30,68,75.65,6.46
Charter Township of Clinton,US,2020-06-16 00:58:34,42.59,-82.92,1,72,63.0,6.76
Kalianget,ID,2020-06-16 01:00:54,-7.05,113.93,81,71,84.83,11.23
Souillac,MU,2020-06-16 01:00:54,-20.52,57.52,40,73,71.6,14.99
Almaty,KZ,2020-06-16 01:00:54,43.25,76.95,75,27,87.8,2.24
Obanazawa,JP,2020-06-16 01:00:54,38.6,140.4,75,53,77.0,5.82
Sobolevo,RU,2020-06-16 01:00:54,54.43,31.9,83,94,68.41,8.55
Laas,IT,2020-06-16 01:00:54,46.62,10.7,75,93,55.0,6.93
San Jerónimo,PE,2020-06-16 01:00:55,-11.95,-75.28,84,74,46.65,0.18
Lac du Bonnet,CA,2020-06-16 01:00:55,50.25,-96.06,37,59,66.99,3.83
Gizo Government Station,SB,2020-06-16 01:00:55,-8.1,156.84,65,75,82.89,11.5
Codrington,AU,2020-06-16 01:00:55,-38.27,141.97,71,71,58.87,17.96
Coahuayana Viejo,MX,2020-06-16 01:00:55,18.73,-103.68,10,79,77.99,1.25
Lagoa,PT,2020-06-16 01:00:55,39.05,-27.98,0,81,63.66,12.93
Matara,LK,2020-06-16 01:00:55,5.95,80.54,94,82,83.12,12.35
Norman Wells,CA,2020-06-16 00:56:33,65.28,-126.83,75,42,62.6,2.24
Lomovka,RU,2020-06-16 01:00:55,53.92,58.37,40,40,69.8,11.18
La Ronge,CA,2020-06-16 00:58:56,55.1,-105.28,75,87,55.4,8.05
Koregaon,IN,2020-06-16 01:00:55,18.65,74.08,97,75,81.0,9.89
Akureyri,IS,2020-06-16 01:00:56,65.68,-18.09,6,62,41.0,20.8
Ust'-Ordynskiy,RU,2020-06-16 01:00:56,52.8,104.75,90,93,59.0,17.9
Vostok,RU,2020-06-16 01:00:56,46.49,135.88,99,88,54.37,1.95
Kapurthala Town,IN,2020-06-16 00:57:12,31.38,75.38,0,41,93.2,6.93
Yulara,AU,2020-06-16 01:00:56,-25.24,130.99,0,25,66.2,12.75
Cabo San Lucas,MX,2020-06-16 00:56:49,22.89,-109.91,0,41,84.99,1.01
Abonnema,NG,2020-06-16 01:00:56,4.71,6.79,40,94,77.0,3.31
Hope,US,2020-06-16 01:00:56,33.67,-93.59,44,67,75.99,3.94
Goderich,CA,2020-06-16 01:00:56,43.75,-81.72,0,72,55.0,10.6
Rabo de Peixe,PT,2020-06-16 01:00:56,37.8,-25.58,20,72,62.6,8.05
Zhigansk,RU,2020-06-16 01:00:56,66.77,123.37,96,68,62.19,18.61
Olean,US,2020-06-16 01:00:57,42.08,-78.43,1,62,52.0,5.82
Kailua,US,2020-06-16 01:00:57,21.4,-157.74,90,48,87.8,13.87
Malbork,PL,2020-06-16 01:00:57,54.04,19.03,61,100,55.0,5.95
Karratha,AU,2020-06-16 01:00:57,-20.74,116.85,0,28,82.89,14.94
Naze,JP,2020-06-16 01:00:57,28.37,129.48,75,83,82.4,9.17
San Quintín,MX,2020-06-16 01:00:57,30.48,-115.95,1,85,62.87,6.8
Shagonar,RU,2020-06-16 01:00:57,51.53,92.8,59,55,64.98,2.89
Cascais,PT,2020-06-16 01:00:57,38.7,-9.42,0,91,64.99,2.19
Stellenbosch,ZA,2020-06-16 01:00:57,-33.93,18.87,0,93,46.0,2.24
Bal‘ā,PS,2020-06-16 01:00:58,32.33,35.11,40,73,75.2,2.24
Nemuro,JP,2020-06-16 01:00:58,43.32,145.57,75,93,57.2,5.82
Ust-Tsilma,RU,2020-06-16 01:00:58,65.44,52.15,100,69,48.83,3.15
Zaraza,VE,2020-06-16 01:00:58,9.35,-65.32,100,95,74.08,2.46
Troitsko-Pechorsk,RU,2020-06-16 01:00:58,62.71,56.2,89,57,69.67,9.01
Campbell River,CA,2020-06-16 01:00:58,50.02,-125.24,75,93,53.6,5.82
Palanga,LT,2020-06-16 01:00:58,55.92,21.07,84,93,57.2,5.82
Luocheng,CN,2020-06-16 01:00:58,29.38,104.03,69,40,100.38,1.99
Nuristan,AF,2020-06-16 01:00:59,35.3,70.83,0,37,52.09,2.17
Hambantota,LK,2020-06-16 01:00:59,6.12,81.12,75,75,89.6,14.99
Kirkwall,GB,2020-06-16 01:00:59,58.98,-2.96,32,93,52.0,8.05
Great Yarmouth,GB,2020-06-16 01:00:59,52.61,1.73,100,99,57.99,1.01
